id,hourly_pow,may_bill,may_carbon,agg_pow
2025-05-10 00:00:00,39072.258992385100,7033006.618629320000,16566.637812771300,19731048.8879453
2025-05-10 01:00:00,39092.6051576128,7036668.9283703000,16575.2645868278,19731048.8879453
2025-05-10 02:00:00,38988.3500437777,7017903.0078799900,16531.0604185617,19731048.8879453
2025-05-10 03:00:00,38851.4066144383,6993253.1905988900,16472.9964045218,19731048.8879453
2025-05-10 04:00:00,39227.0699734741,7060872.5952253400,16632.2776687530,19731048.8879453
2025-05-10 05:00:00,39055.1286915941,7029923.1644869400,16559.3745652359,19731048.8879453
2025-05-10 06:00:00,39022.7928290399,7024102.7092271800,16545.6641595129,19731048.8879453
2025-05-10 07:00:00,38995.7641775154,7019237.5519527700,16534.2040112665,19731048.8879453
2025-05-10 08:00:00,39000.0262492471,7020004.7248644800,16536.0111296808,19731048.8879453
2025-05-10 09:00:00,39022.5177712125,7024053.1988182500,16545.5475349941,19731048.8879453
2025-05-10 10:00:00,39083.4651819905,7035023.7327582900,16571.3892371640,19731048.8879453
2025-05-10 11:00:00,39064.4948052235,7031609.0649402300,16563.3457974148,19731048.8879453
2025-05-10 12:00:00,39148.1905843614,7046674.3051850500,16598.8328077692,19731048.8879453
2025-05-10 13:00:00,39095.8410920751,7037251.3965735200,16576.6366230398,19731048.8879453
2025-05-10 14:00:00,38974.0412251802,7015327.4205324400,16524.9934794764,19731048.8879453
2025-05-10 15:00:00,38983.6489419711,7017056.8095548000,16529.0671513957,19731048.8879453
2025-05-10 16:00:00,39199.9646203316,7055993.6316596900,16620.7849990206,19731048.8879453
2025-05-10 17:00:00,39026.4152952725,7024754.7531490500,16547.2000851955,19731048.8879453
2025-05-10 18:00:00,39076.0588155053,7033690.5867909500,16568.2489377742,19731048.8879453
2025-05-10 19:00:00,39020.0127629461,7023602.2973303000,16544.4854114891,19731048.8879453
2025-05-10 20:00:00,39208.7508946953,7057575.1610451500,16624.5103793508,19731048.8879453
2025-05-10 21:00:00,38914.1112412528,7004540.0234255000,16499.5831662912,19731048.8879453
2025-05-10 22:00:00,38992.9878147366,7018737.8066525900,16533.0268334483,19731048.8879453
2025-05-10 23:00:00,39274.6282360852,7069433.0824953400,16652.4423721001,19731048.8879453
2025-05-11 00:00:00,39091.585012223700,7036485.302200270000,16574.832045182800,19731048.8879453
2025-05-11 01:00:00,39094.0912410583,7036936.4233904900,16575.8946862087,19731048.8879453
2025-05-11 02:00:00,39195.3989183794,7055171.8053082900,16618.8491413929,19731048.8879453
2025-05-11 03:00:00,39003.4595828825,7020622.7249188500,16537.4668631422,19731048.8879453
2025-05-11 04:00:00,38884.6000648838,6999228.0116790800,16487.0704275107,19731048.8879453
2025-05-11 05:00:00,39042.6182970814,7027671.2934746500,16554.0701579625,19731048.8879453
2025-05-11 06:00:00,39115.8865536721,7040859.5796609800,16585.1358987570,19731048.8879453
2025-05-11 07:00:00,38938.48960915,7008928.12964700,16509.91959428,19731048.8879453
2025-05-11 08:00:00,39153.7508413798,7047675.1514483600,16601.1903567450,19731048.8879453
2025-05-11 09:00:00,38943.5025661425,7009830.4619056500,16512.0450880444,19731048.8879453
2025-05-11 10:00:00,38973.53681148390,7015236.62606710000,16524.77960806920,19731048.8879453
2025-05-11 11:00:00,39035.6981744698,7026425.6714045600,16551.1360259752,19731048.8879453
2025-05-11 12:00:00,39276.3154913692,7069736.7884464600,16653.1577683405,19731048.8879453
2025-05-11 13:00:00,39129.1714958254,7043250.8692485700,16590.7687142300,19731048.8879453
2025-05-11 14:00:00,39061.1430970894,7031005.7574760900,16561.9246731659,19731048.8879453
2025-05-11 15:00:00,39048.8623081072,7028795.2154593000,16556.7176186375,19731048.8879453
2025-05-11 16:00:00,39061.1605456672,7031008.8982201000,16561.9320713629,19731048.8879453
